song    ,band    ,album
B Is For Bethlehem,The Promise Ring,Nothing Feels Good
True Dreams of Wichita,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
What I Got,Sublime,Sublime (Explicit Version)
Everyone's A Liar,Slow Roosevelt,Throw Away Your Stereo
Mutilated Lips,Ween,The Mollusk
Damn Fine Mule,Slow Roosevelt,Starving Saint Nick
Drown,The Smashing Pumpkins,(Rotten Apples) The Smashing Pumpkins Greatest Hits
Waving My Dick in the Wind,Ween,The Mollusk
Can I Kick It?,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)
Collapse,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Fodder,Spot,Spot
Reggaejunkiejew,Ween,Pure Guava
Barnacles,Ugly Casanova,Sharpen Your Teeth (Bonus Track Version)
In the Capital,Rolling Blackouts Coastal Fever,In the Capital
I Am Trying to Break Your Heart,Wilco,Yankee Hotel Foxtrot
Eyes,Rogue Wave,Eyes
Extra,Slow Roosevelt,Starving Saint Nick
Rolling,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Unity,Reel Big Fish,Keep Your Receipt
Miss Modular,Stereolab,Dots And Loops
Diagonals,Stereolab,Dots And Loops
Face Down In a Pillow,Slow Roosevelt,Starving Saint Nick
A Broken Tenor,The Promise Ring,Nothing Feels Good
SICKO MODE,Travis Scott,ASTROWORLD
Straight Thru The Sun's Head,Spot,Spot
Super Model,Slow Roosevelt,Starving Saint Nick
Sunflower (feat. Steve Lacy),Vampire Weekend,Sunflower / Big Blue
Mayonaise - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (2011 - Remaster)
Time of the Season - Mono Version,The Zombies,Time of the Season / She's Not There
Reptilia,The Strokes,Room On Fire
Detective Friend,Slow Roosevelt,Starving Saint Nick
Happiness Is All The Rage,The Promise Ring,Very Emergency
Hate It Here,Wilco,Sky Blue Sky
Zodiac Sign,Slow Roosevelt,Throw Away Your Stereo
Living Around,The Promise Ring,Very Emergency
I Confess to All This Mess,The Stereo,No Traffic
Janine,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
100%,Sonic Youth,Dirty
Ground,Spot,Spot
Freakazoid,Silversun Pickups,Freakazoid
Oxford Comma,Vampire Weekend,Vampire Weekend
Kiss Off - 2002 Remastered Version,Violent Femmes,Violent Femmes
Impossible Germany,Wilco,Sky Blue Sky
French Press,Rolling Blackouts Coastal Fever,French Press
Ocean Avenue,Yellowcard,Ocean Avenue
Africa,TOTO,Toto IV
Yonkers,"Tyler, The Creator",Goblin
Drop Down,Spot,Spot
Hole,Spot,Spot
My Valentine,Slow Roosevelt,Starving Saint Nick
Emergency! Emergency!,The Promise Ring,Very Emergency
St. Louise Is Listening,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
The Way Things Change,Yellow Days,The Way Things Change
Hollywood Movie Contract,Slow Roosevelt,Starving Saint Nick
Super Bon Bon - Propellerheads Radio Edit Version,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
DEATHCAMP (feat. Cole Alexander),"Tyler, The Creator",Cherry Bomb
Alabama Man,Slow Roosevelt,Starving Saint Nick
Lazy Eye,Silversun Pickups,Carnavas
We Built Another World,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
The Mollusk,Ween,The Mollusk
Remind Me - Radio Edit,Röyksopp,Melody AM
She's a Jar,Wilco,Summerteeth
Soundtrack to Mary,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Pumpin' 4 The Man,Ween,Pure Guava
Things Just Getting Good,The Promise Ring,Very Emergency
How to Fight Loneliness,Wilco,Summerteeth
Interstate Love Song,Stone Temple Pilots,Purple
Unbearably White,Vampire Weekend,This Life / Unbearably White
Rhinoceros - Remastered 2011,The Smashing Pumpkins,Gish
Cut A Wide Swath,Spot,Spot
Dear Sons and Daughters of Hungry Ghosts,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Happy Hour,The Promise Ring,Very Emergency
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition]
Trendy - Best Of,Reel Big Fish,A Best Of Us For The Rest Of Us - Bigger Better Deluxe Digital Version
Dirty Work,Steely Dan,Can't Buy A Thrill
Uninvited,Ruth Ruth,Laughing Gallery
Transdermal Celebration,Ween,Quebec
The Flower Called Nowhere,Stereolab,Dots And Loops
Get Set for Sound,The Stereo,No Traffic
Paint,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Cherub Rock - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (2011 - Remaster)
I Was Born (A Unicorn),The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered)
Summer Breeze,Seals and Crofts,Rhino Hi-Five: Seals & Crofts
The Deep South,The Promise Ring,Very Emergency
Piss up a Rope,Ween,12 Golden Country Greats
Teen Age Riot (Album Version),Sonic Youth,Daydream Nation (Deluxe Edition)
El Scorcho,Weezer,Pinkerton
Lousy Pictures,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Lazybones,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Detective Friend 98,Slow Roosevelt,Throw Away Your Stereo
Blueeyed Devil,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Fake Plastic Trees,Radiohead,The Bends
In the Meantime,Spacehog,Resident Alien
Shimmy Shimmy Ya,Ol' Dirty Bastard,Return to the 36 Chambers: The Dirty Version
Tennessee,Arrested Development,"3 Years, 5 Months And 2 Days In The Life Of..."
One More Murder,Better Than Ezra,Greatest Hits
Minerva,Deftones,Deftones
Savory - 2005 Remaster,Deftones,B-Sides & Rarities
Be Quiet and Drive (Far Away),Deftones,Around the Fur
Minus Blindfold,Deftones,Adrenaline
Bored,Deftones,Adrenaline
7 Words,Deftones,Adrenaline
Engine No. 9,Deftones,Adrenaline
Fell In Love With A Girl,The White Stripes,White Blood Cells
Talk To Strangers,Saul Williams,Saul Williams
Horizon to Cliff,Built To Spill,Untethered Moon
In the Air Tonight - 2015 Remaster,Phil Collins,Face Value (2016 Remaster)
Easy Lover,Philip Bailey,Chinese Wall (Expanded Edition)
You Can't Hurry Love - 2016 Remaster,Phil Collins,"Hello, I Must Be Going! (Deluxe Edition)"
Time - 2011 Remastered Version,Pink Floyd,The Dark Side Of The Moon (2011 Remastered Version)
The Choice Is Yours (Revisited),Black Sheep,A Wolf In Sheep's Clothing
Social,Squirtgun,Mallrats (Original Motion Picture Soundtrack)
Last Words,Jason Mewes,Mallrats (Original Motion Picture Soundtrack)
Mission Impossible #2,Jason Mewes,Mallrats (Original Motion Picture Soundtrack)
Build Me Up Buttercup,The Goops,Mallrats (Original Motion Picture Soundtrack)
Post Coital Techno Boogie,Jason Lee,Mallrats (Original Motion Picture Soundtrack)
A Very Uncomfortable Place,Jason Lee,Mallrats (Original Motion Picture Soundtrack)
Chinatown,Jets To Brazil,Orange Rhyming Dictionary
GRoCERIES,Chance the Rapper,GRoCERIES
Vasoline,Stone Temple Pilots,Purple
Don't Let The Bastards Grind You Down,The Toasters,Don't Let The Bastards Grind You Down
10001110101,Clutch,Robot Hive/Exodus (Bonus Track Version)
Circus Maximus,Clutch,Robot Hive/Exodus (Bonus Track Version)
Bullet Proof ... I Wish I Was,Radiohead,The Bends
Everyday Normal Guy 2,Jon Lajoie,You Want Some of This?
Everyday Normal Guy,Jon Lajoie,You Want Some of This?
Rain King,Counting Crows,August And Everything After
Careful What You Wish For,Raine Maida,The Hunter's Lullaby
Montreal,Raine Maida,We All Get Lighter
Yellow Brick Road,Raine Maida,The Hunter's Lullaby
Shuffle Your Feet,Black Rebel Motorcycle Club,Howl
Little Fury Bugs,Death Cab for Cutie,We Have The Facts And We're Voting Yes
The Employment Pages,Death Cab for Cutie,We Have The Facts And We're Voting Yes
For What Reason,Death Cab for Cutie,We Have The Facts And We're Voting Yes
Scientist Studies,Death Cab for Cutie,We Have The Facts And We're Voting Yes
405,Death Cab for Cutie,We Have The Facts And We're Voting Yes
No Joy In Mudville,Death Cab for Cutie,We Have The Facts And We're Voting Yes
"Lowell, MA",Death Cab for Cutie,We Have The Facts And We're Voting Yes
Company Calls Epilogue,Death Cab for Cutie,We Have The Facts And We're Voting Yes
Title Track,Death Cab for Cutie,We Have The Facts And We're Voting Yes
Company Calls,Death Cab for Cutie,We Have The Facts And We're Voting Yes
Way of the Ocean,Three Mile Pilot,"Another Desert, Another Sea"
DNA.,Kendrick Lamar,DAMN.
ELEMENT.,Kendrick Lamar,DAMN.
Backseat Freestyle,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)"
Alright,Kendrick Lamar,To Pimp A Butterfly
HUMBLE.,Kendrick Lamar,DAMN.
Poetic Justice,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)"
i,Kendrick Lamar,i
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version)
Norf Norf,Vince Staples,Summertime '06
For Nancy ('Cos It Already Is),Pete Yorn,musicforthemorningafter
Life On a Chain,Pete Yorn,musicforthemorningafter
Strange Condition,Pete Yorn,musicforthemorningafter
Black,Pete Yorn,musicforthemorningafter
Buried in the Murder,The Lonely Wild,The Sun as It Comes
Bankrupt,The Lonely Wild,The Sun as It Comes
Banks and Ballrooms,The Lonely Wild,The Sun as It Comes
Keep Us Whole,The Lonely Wild,The Sun as It Comes
Come Back Down,The Lonely Wild,The Sun as It Comes
Over Edgeware,The Lonely Wild,The Sun as It Comes
Who's Calling,The Lonely Wild,The Sun as It Comes
The Sun As It Comes,The Lonely Wild,The Sun as It Comes
Closer Than the Needle,The Lonely Wild,The Sun as It Comes
Flames to Fight,The Lonely Wild,The Sun as It Comes
Everything You Need,The Lonely Wild,The Sun as It Comes
Burning Down the House,Talking Heads,Speaking in Tongues
Neighborhood #1 (Tunnels),Arcade Fire,Funeral
Son Of Sam,Elliott Smith,Figure 8
The Dreamer,The Tallest Man On Earth,Sometimes The Blues Is Just A Passing Bird
Pa Pa Power,Dead Man's Bones,Dead Man's Bones
Dead Hearts,Dead Man's Bones,Dead Man's Bones
Dead Man's Bones,Dead Man's Bones,Dead Man's Bones
In The Room Where You Sleep,Dead Man's Bones,Dead Man's Bones
Buried in Water,Dead Man's Bones,Dead Man's Bones
Intro,Dead Man's Bones,Dead Man's Bones
Paper Ships,Dead Man's Bones,Dead Man's Bones
Flowers Grow Out of My Grave,Dead Man's Bones,Dead Man's Bones
Lose Your Soul,Dead Man's Bones,Dead Man's Bones
Werewolf Heart,Dead Man's Bones,Dead Man's Bones
My Body's a Zombie For You,Dead Man's Bones,Dead Man's Bones
Wrecking Ball,Creeper Lagoon,Take Back The Universe And Give Me Yesterday
Santana DVX,The Lonely Island,Incredibad
I'm On A Boat,The Lonely Island,Incredibad
Like A Boss,The Lonely Island,Incredibad
Ras Trent,The Lonely Island,Incredibad
Natalie's Rap,The Lonely Island,Incredibad
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,Coloring Book
Gucci Gang,Lil Pump,Lil Pump
Texties,Nick Kroll,Thank You Very Cool
Chupa Sponsor Reel (Bonus Track),Nick Kroll,Thank You Very Cool
Fabrice Fabrice,Nick Kroll,Thank You Very Cool
Tunatinis,Nick Kroll,Thank You Very Cool
Bobby B,Nick Kroll,Thank You Very Cool
Cats vs. Dogs,Nick Kroll,Thank You Very Cool
Do you date me?,Nick Kroll,Thank You Very Cool
MJ,Nick Kroll,Thank You Very Cool
Koo Koo Rikoo!,Nick Kroll,Thank You Very Cool
Drunk Packing,Nick Kroll,Thank You Very Cool
Crudités,Nick Kroll,Thank You Very Cool
Nick Kroll,Nick Kroll,Thank You Very Cool
Dream Catcher,Nick Kroll,Thank You Very Cool
Home,Cut Chemist,Die Cut
Die Cut (Theme),Cut Chemist,Die Cut
Madman,Cut Chemist,Die Cut
Moonlightin' with Biz,Cut Chemist,Die Cut
Work My Mind,Cut Chemist,Die Cut
Die Cut (Wrap),Cut Chemist,Die Cut
The Lift Part 2 (The Dream Sequence),Cut Chemist,Die Cut
Rhythm Method,Cut Chemist,Die Cut
I Gotta Weapon,Cut Chemist,Die Cut
Plains,Cut Chemist,Die Cut
Metalstorm,Cut Chemist,Die Cut
Home Away from Home,Cut Chemist,Die Cut
"You Want It, I Got It",Cut Chemist,Die Cut
Energy (Interlude 2),Cut Chemist,Die Cut
Prelude for a Madman,Cut Chemist,Die Cut
Plane Jane,Cut Chemist,Die Cut
Mistadobalina,Del The Funky Homosapien,I Wish My Brother George Was Here
Black Tambourine,Beck,Guero
All I Want,Toad The Wet Sprocket,fear
Your Redneck Past,Ben Folds Five,The Unauthorized Biography Of Reinhold Messner
King Of The Road,Roger Miller,The Best Of Roger Miller Volume Two: King Of The Road
Theme Allison,Tomorrowpeople,Golden Energy
Youth in Orbit,Tomorrowpeople,Golden Energy
Poison,Bell Biv DeVoe,20th Century Masters: The Millennium Collection: Best of Bel Biv DeVoe
Tha Crossroads,Bone Thugs-N-Harmony,R&B: From Doo-Wop To Hip-Hop
Flint (For the Unemployed and Underpaid),Sufjan Stevens,Michigan
The Upper Peninsula,Sufjan Stevens,Michigan
Futile Devices,Sufjan Stevens,The Age of Adz
All the Trees of the Field Will Clap Their Hands,Sufjan Stevens,Seven Swans
The Dress Looks Nice on You,Sufjan Stevens,Seven Swans
"John Wayne Gacy, Jr.",Sufjan Stevens,Illinois
Casimir Pulaski Day,Sufjan Stevens,Illinois
John Allyn Smith Sails,Okkervil River,The Stage Names
The Valley,Okkervil River,I Am Very Far
Styrofoam Plates,Death Cab for Cutie,The Photo Album
Neighborhood #2 (Laika),Arcade Fire,Funeral
Neighborhood #3 (Power Out),Arcade Fire,Funeral
Wake Up,Arcade Fire,Funeral
Rebellion (Lies),Arcade Fire,Funeral
Big News I,Clutch,Clutch
Big News II,Clutch,Clutch
Escape from the Prison Planet,Clutch,Clutch
Tight Like That,Clutch,Clutch
Naked as We Came,Iron & Wine,Our Endless Numbered Days
Heartbeats,José González,Veneer
Good Morning,Lullaby For The Working Class,Blanket Warm
Spreading the Evening Sky with Crows,Lullaby For The Working Class,Blanket Warm
Queen of the Long-Legged Insects,Lullaby For The Working Class,Blanket Warm
The Crane Wife 3,The Decemberists,The Crane Wife (10th Anniversary Edition)
Texan Book of the Dead,Clutch,Clutch
Spacegrass,Clutch,Clutch
Stir Fry,Migos,Culture II
Hunger Strike - 25th Anniversary Mix,Temple Of The Dog,Hunger Strike (25th Anniversary Mix)
Creep,Stone Temple Pilots,Core
Volcano Girls,Veruca Salt,Eight Arms To Hold You
Crown Of Thorns,Mother Love Bone,Mother Love Bone
Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition)
Creep,Radiohead,Pablo Honey (Collector's Edition)
Pardon Me,Incubus,Make Yourself
Tomorrow,Silverchair,Frogstomp (Deluxe Edition) [Remastered]
Someday I Suppose,The Mighty Mighty Bosstones,Don't Know How To Party
Say Hello 2 Heaven - 25th Anniversary Mix,Temple Of The Dog,Temple Of The Dog (Deluxe Edition)
Here In Your Bedroom,Goldfinger,The Best Of Goldfinger
I Was Wrong,Social Distortion,White Light White Heat White Trash
"Cute Without the ""E"" (Cut From the Team)",Taking Back Sunday,Tell All Your Friends (Re-Issue)
Story of My Life,Social Distortion,Social Distortion
Sick of Myself,Matthew Sweet,100 % Fun
In the Meantime - Re-Recorded Version,Spacehog,In the Meantime
ROJI (Roshomon Effect),Pinback,ROJI (Roshomon Effect)
Gamma Ray,Beck,Modern Guilt
Nausea,Beck,The Information
Clap Hands - Non-LP Version,Beck,Guerolito
Tropicalia,Beck,Mutations
Hey Jealousy,Gin Blossoms,New Miserable Experience
Inside Out,Eve 6,Eve 6
Steal My Sunshine - Single Version,LEN,Steal My Sunshine EP
Just a Friend,Biz Markie,Biz's Baddest Beats: The Best of Biz Markie
One Week,Barenaked Ladies,Stunt
One Headlight,The Wallflowers,Bringing Down The Horse
Push,Matchbox Twenty,Yourself or Someone Like You
Rollout (My Business),Ludacris,Word Of Mouf
California - Tchad Blake Mix,Phantom Planet,The Guest (Expanded Edition)
Waterfalls,TLC,Crazysexycool
This Is How We Do It,Montell Jordan,This Is How We Do It
Teenage Dirtbag,Wheatus,"Songs From Dawson's Creek, Vol. II"
Money In The Grave (Drake ft. Rick Ross),Drake,The Best In The World Pack
Here In Your Bedroom,Goldfinger,Goldfinger
New Girl,The Suicide Machines,Destruction By Definition
Super Rad,The Aquabats!,The Fury of the Aquabats
Where Zero Meets 15,Five Iron Frenzy,Upbeats & Beatdowns
Third World Think Tank,Five Iron Frenzy,Upbeats & Beatdowns
Blue Comb '78,Five Iron Frenzy,Our Newest Album Ever!
Banner Year,Five Iron Frenzy,Our Newest Album Ever!
"Oh, Canada",Five Iron Frenzy,Our Newest Album Ever!
Save Me,Aimee Mann,Magnolia (Music from the Motion Picture)
The London (feat. J. Cole & Travis Scott),Young Thug,The London (feat. J. Cole & Travis Scott)
Alaska,Maggie Rogers,Heard It In A Past Life
From God's Perspective,Bo Burnham,what.
ART IS DEAD,Bo Burnham,Words Words Words
Ain't No Sunshine,Bill Withers,Just As I Am
Lovely Day,Bill Withers,Menagerie
Use Me,Bill Withers,Still Bill
"So Fresh, So Clean",Outkast,Stankonia
Steal My Sunshine,LEN,You Can't Stop The Bum Rush
Landslide,Fleetwood Mac,Fleetwood Mac
Every Morning - Remastered,Sugar Ray,The Best Of Sugar Ray
Tiny Dancer,Elton John,Madman Across The Water
Baba O'Riley,The Who,Who's Next (Deluxe Edition)
The Joker,Steve Miller Band,The Joker
Uptight (Everything's Alright),Stevie Wonder,Up-Tight
Mr. Jones,Counting Crows,August And Everything After
Lovely Day,Bill Withers,Lean on Me: The Best of Bill Withers
Inaudible Melodies,Jack Johnson,Brushfire Fairytales [Remastered (Bonus Version)]
It's All Understood,Jack Johnson,Brushfire Fairytales [Remastered (Bonus Version)]
Times Like These,Jack Johnson,On And On
The Horizon Has Been Defeated - Single Version,Jack Johnson,On And On
Taylor,Jack Johnson,On And On
Holes To Heaven,Jack Johnson,On And On
Cookie Jar,Jack Johnson,On And On
Feels Like We Only Go Backwards,Tame Impala,Lonerism
Real World,Matchbox Twenty,The Matchbox Twenty Collection
Long Day,Matchbox Twenty,The Matchbox Twenty Collection
3:00 AM,Matchbox Twenty,The Matchbox Twenty Collection
Back 2 Good,Matchbox Twenty,The Matchbox Twenty Collection
If You're Gone,Matchbox Twenty,The Matchbox Twenty Collection
Release,Pearl Jam,Ten
Old Friends,Pinegrove,Cardinal
Masters of War,Bob Dylan,The Freewheelin' Bob Dylan
Get By,Talib Kweli,Quality
Wot,Captain Sensible,The Collection
Feel It All Around,Washed Out,Life Of Leisure
Lisztomania,Phoenix,Wolfgang Amadeus Phoenix
Heads Will Roll,Yeah Yeah Yeahs,It's Blitz!
Gold Lion,Yeah Yeah Yeahs,Show Your Bones
Neon Wound,Silversun Pickups,Widow's Weeds
It Doesn't Matter Why,Silversun Pickups,Widow's Weeds
Don't Know Yet,Silversun Pickups,Widow's Weeds
Straw Man,Silversun Pickups,Widow's Weeds
Bag of Bones,Silversun Pickups,Widow's Weeds
Widow's Weeds,Silversun Pickups,Widow's Weeds
Songbirds,Silversun Pickups,Widow's Weeds
Simpatico,Silversun Pickups,Widow's Weeds
We Are Chameleons,Silversun Pickups,Widow's Weeds
Common Reactor,Silversun Pickups,Carnavas
Three Seed,Silversun Pickups,Carnavas
Melatonin,Silversun Pickups,Carnavas
Checkered Floor,Silversun Pickups,Carnavas
Deadcrush (feat. Danny Brown) - Alchemist x Trooko Version,alt-J,Deadcrush (feat. Danny Brown) [Alchemist x Trooko Version]
Get Got,Death Grips,The Money Store
Reelin' In The Years,Steely Dan,Can't Buy A Thrill
Beast Of Burden - Remastered 1994,The Rolling Stones,Some Girls
Where Eagles Dare,Misfits,Collection
Summer Breeze,Seals and Crofts,Seals & Crofts' Greatest Hits
Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version)
Traffic In The Sky,Jack Johnson,On And On
Live On,The Flying Stars Of Brooklyn NY,My God Has a Telephone
Colors,Black Pumas,Black Pumas
A Decade Under The Influence,Taking Back Sunday,Twenty
Cute Without The E - Cut From The Team,Taking Back Sunday,Punk Goes Acoustic
The Last Song I Will Ever Write About A Girl,The Ataris,"Blue Skies, Broken Hearts...Next 12 Exits"
Hello It's Me,Todd Rundgren,Something / Anything?
I Saw the Light,Todd Rundgren,Something / Anything?
Money Trees,Kendrick Lamar,"good kid, m.A.A.d city"
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city"
family ties (with Kendrick Lamar),Baby Keem,The Melodic Blue
N95,Kendrick Lamar,Mr. Morale & The Big Steppers
Rich Spirit,Kendrick Lamar,Mr. Morale & The Big Steppers
Swimming Pools (Drank),Kendrick Lamar,Swimming Pools (Drank)
King Kunta,Kendrick Lamar,To Pimp A Butterfly
Collard Greens,ScHoolboy Q,Oxymoron (Deluxe)
Sidewalks,The Weeknd,Starboy
HiiiPower,Kendrick Lamar,Section.80
m.A.A.d city,Kendrick Lamar,"good kid, m.A.A.d city"
Lapdance,N.E.R.D,In Search Of...
Things Are Getting Better,N.E.R.D,In Search Of...
Rockstar,N.E.R.D,In Search Of...
Stay Together,N.E.R.D,In Search Of...
Tonight (feat. Ezra Koenig),Phoenix,Tonight (feat. Ezra Koenig)
Seven Nation Army,The White Stripes,Elephant
Blue Orchid,The White Stripes,Get Behind Me Satan
Icky Thump,The White Stripes,Icky Thump
Dead Leaves and the Dirty Ground,The White Stripes,White Blood Cells
Hello Operator,The White Stripes,De Stijl
Ball and Biscuit,The White Stripes,Elephant
Jimmy the Exploder,The White Stripes,The White Stripes
The Remedy (I Won't Worry),Jason Mraz,Waiting for My Rocket to Come
Butter,BTS,"Butter (Hotter, Sweeter, Cooler)"
Tool,Baboon,Get It Through Your Thick Skull
Baby Come Back,Player,The Best Of Player: Baby Come Back
Steal Away - Remastered,Robbie Dupree,Robbie Dupree
Hey Nineteen,Steely Dan,Gaucho
"Ain't No Way [Feat. 6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h]",Denzel Curry,Melt My Eyez See Your Future
Walkin,Denzel Curry,Melt My Eyez See Your Future
Government Center,The Modern Lovers,The Modern Lovers (Expanded Version)
The Great Escape,We Are Scientists,With Love And Squalor
Girl from Mars - 2022 Remaster,Ash,1977 (2022 Remaster)
Kung Fu - 2022 Remaster,Ash,1977 (2022 Remaster)
Wish You Were Here,Incubus,Morning View
Are You In?,Incubus,Morning View
Nice to Know You,Incubus,Morning View
Warning,Incubus,Morning View
Surround Sound (feat. 21 Savage & Baby Tate),JID,The Forever Story (Extended Version)
The House That Heaven Built,Japandroids,Celebration Rock
Phantom Limb,The Shins,Wincing The Night Away
Popular,Nada Surf,High/Low
Where It's At,Beck,Odelay (Deluxe Edition)
Novocaine For The Soul,Eels,Beautiful Freak
Seether,Veruca Salt,American Thighs
Sugar Kane,Sonic Youth,Dirty
Tonight (feat. Ezra Koenig),Phoenix,Alpha Zulu
Girl From Mars,Ash,1977
Plastic Cough,Great Grandpa,Plastic Cough
Widow's Weeds,Silversun Pickups,Widow's Weeds
ROJI (Roshomon Effect),Pinback,ROJI (Roshomon Effect)
Clutch,Clutch,Clutch
Funeral,Arcade Fire,Funeral
Blanket Warm,Lullaby For The Working Class,Blanket Warm
Cardinal (Expanded Edition),Pinegrove,Cardinal (Expanded Edition)
"Bachelor No. 2 (Or, The Last Remains of the Dodo)",Aimee Mann,"Bachelor No. 2 (Or, The Last Remains of the Dodo)"
Die Cut,Cut Chemist,Die Cut
Thank You Very Cool,Nick Kroll,Thank You Very Cool
Dead Man's Bones,Dead Man's Bones,Dead Man's Bones
The Sun as It Comes,The Lonely Wild,The Sun as It Comes
We Have The Facts And We're Voting Yes,Death Cab for Cutie,We Have The Facts And We're Voting Yes
Pinback,Pinback,Pinback
The Lonely Wild,,
Right Behind You (Mafia),Our Lady Peace,Spiritual Machines
In Repair,Our Lady Peace,Spiritual Machines
Life,Our Lady Peace,Spiritual Machines
Middle of Yesterday,Our Lady Peace,Spiritual Machines
Made to Heal,Our Lady Peace,Spiritual Machines
Don't Panic,Coldplay,Parachutes
Shiver,Coldplay,Parachutes
Sparks,Coldplay,Parachutes
Trouble,Coldplay,Parachutes
Sandusky,Uncle Tupelo,"March 16-20, 1992"
Windfall - 2015 Remaster,Son Volt,Trace (Remastered)
Wagon Wheel,Old Crow Medicine Show,O.C.M.S.
Jacksonville Skyline,Whiskeytown,Pneumonia
Moonshiner,Uncle Tupelo,Uncle Tupelo 89/93: An Anthology
Come Pick Me Up,Ryan Adams,Heartbreaker
When The Stars Go Blue,Ryan Adams,Gold
Doreen,Old 97's,Hit By A Train: The Best Of Old 97's
Victoria,Old 97's,Hit By A Train: The Best Of Old 97's
Timebomb,Old 97's,Hit By A Train: The Best Of Old 97's
Jagged,Old 97's,Hit By A Train: The Best Of Old 97's
Lonely Holiday,Old 97's,Hit By A Train: The Best Of Old 97's
Murder (Or a Heart Attack),Old 97's,Hit By A Train: The Best Of Old 97's
Valentine,Old 97's,Hit By A Train: The Best Of Old 97's
Barrier Reef,Old 97's,Too Far To Care